"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 02 16:07:27 IST 2024","Fri Feb 02 16:07:27 IST 2024","308","","","","","","",""
"passed","Fri Feb 02 16:07:20 IST 2024","Fri Feb 02 16:07:27 IST 2024","6431","","1 Login operation","","","","1 Login operation",""
